Wed Dec  8 01:18:08 EST 2021,inference-resnet18-cat1-job-0,job_config_inference-resnet18-cat1.yaml,1
Wed Dec  8 01:18:10 EST 2021,single-node-densenet201-cifar10-epochs1-batchsize8-job-0,job_config_single-node-densenet201-cifar10-epochs1-batchsize8.yaml,0
Wed Dec  8 01:18:10 EST 2021,inference-resnet101-goose4-job-0,job_config_inference-resnet101-goose4.yaml,5
Wed Dec  8 01:18:15 EST 2021,inference-resnet34-dog3-job-0,job_config_inference-resnet34-dog3.yaml,1
Wed Dec  8 01:18:16 EST 2021,inference-vgg16-hen1-job-0,job_config_inference-vgg16-hen1.yaml,4
Wed Dec  8 01:18:20 EST 2021,inference-resnet50-hen1-job-0,job_config_inference-resnet50-hen1.yaml,3
Wed Dec  8 01:18:24 EST 2021,inference-densenet121-goose4-job-0,job_config_inference-densenet121-goose4.yaml,0
Wed Dec  8 01:18:24 EST 2021,inference-densenet121-tigershark1-job-0,job_config_inference-densenet121-tigershark1.yaml,1
Wed Dec  8 01:18:25 EST 2021,inference-resnet18-snail4-job-0,job_config_inference-resnet18-snail4.yaml,0
Wed Dec  8 01:18:25 EST 2021,inference-vgg11-dog3-job-0,job_config_inference-vgg11-dog3.yaml,1
Wed Dec  8 01:18:26 EST 2021,inference-resnet50-hen4-job-0,job_config_inference-resnet50-hen4.yaml,0
Wed Dec  8 01:18:26 EST 2021,inference-resnet34-cat4-job-0,job_config_inference-resnet34-cat4.yaml,4
Wed Dec  8 01:18:31 EST 2021,inference-vgg11-snail2-job-0,job_config_inference-vgg11-snail2.yaml,4
Wed Dec  8 01:18:35 EST 2021,inference-vgg16-dog2-job-0,job_config_inference-vgg16-dog2.yaml,5
Wed Dec  8 01:18:40 EST 2021,single-node-vgg16-cifar10-epochs1-batchsize8-job-0,job_config_single-node-vgg16-cifar10-epochs1-batchsize8.yaml,2
Wed Dec  8 01:18:42 EST 2021,inference-vgg16-goose4-job-0,job_config_inference-vgg16-goose4.yaml,4
Wed Dec  8 01:18:47 EST 2021,single-node-resnet50-cifar10-epochs1-batchsize32-job-0,job_config_single-node-resnet50-cifar10-epochs1-batchsize32.yaml,5
Wed Dec  8 01:18:52 EST 2021,inference-resnet101-cat4-job-0,job_config_inference-resnet101-cat4.yaml,1
