model,batchsize,activations,parameters,input,peak mem usage,Pipelines/CUDA cores,Memory bandwidth (GB/s),Memory clock speed (MHz),Tensor cores,SM count
densenet201,16,5220.48,77.22,9.19,4957,5888,512,16000,184,46
densenet201,32,10440.96,77.22,18.38,7953,5888,512,16000,184,46
densenet201,64,20881.92,77.22,36.75,14758,5888,512,16000,184,46
densenet201,8,2610.24,77.22,4.59,3249,5120,900,1752,640,80
densenet201,16,5220.48,77.22,9.19,4953,5120,900,1752,640,80
densenet201,32,10440.96,77.22,18.38,8463,5120,900,1752,640,80
densenet201,64,20881.92,77.22,36.75,15347,5120,900,1752,640,80
densenet201,8,2610.24,77.22,4.59,3297,10496,935.8,19495,328,82
densenet201,16,5220.48,77.22,9.19,5085,10496,935.8,19495,328,82
densenet201,32,10440.96,77.22,18.38,8403,10496,935.8,19495,328,82
densenet201,64,20881.92,77.22,36.75,14811,10496,935.8,19495,328,82
vgg11,8,501.51,506.83,4.59,3424,2496,240.6,5012,0,13
vgg11,16,1003.5,506.83,9.19,3872,2496,240.6,5012,0,13
vgg11,32,2007.02,506.83,18.38,4894,2496,240.6,5012,0,13
vgg11,64,4014.04,506.83,36.75,7206,2496,240.6,5012,0,13
vgg11,8,501.51,506.83,4.59,3668,2560,448,14000,320,40
vgg11,16,1003.5,506.83,9.19,4476,2560,448,14000,320,40
vgg11,32,2007.02,506.83,18.38,5090,2560,448,14000,320,40
vgg11,64,4014.04,506.83,36.75,8015,2560,448,14000,320,40
vgg11,8,501.51,506.83,4.59,3833,5888,512,16000,184,46
vgg11,16,1003.5,506.83,9.19,4665,5888,512,16000,184,46
vgg11,32,2007.02,506.83,18.38,5575,5888,512,16000,184,46
vgg11,64,4014.04,506.83,36.75,8026,5888,512,16000,184,46
vgg11,8,501.51,506.83,4.59,3911,5120,900,1752,640,80
vgg11,16,1003.5,506.83,9.19,4699,5120,900,1752,640,80
vgg11,32,2007.02,506.83,18.38,5313,5120,900,1752,640,80
vgg11,64,4014.04,506.83,36.75,8031,5120,900,1752,640,80
vgg11,8,501.51,506.83,4.59,3961,10496,935.8,19495,328,82
vgg11,16,1003.5,506.83,9.19,4793,10496,935.8,19495,328,82
vgg11,32,2007.02,506.83,18.38,5703,10496,935.8,19495,328,82
vgg11,64,4014.04,506.83,36.75,8627,10496,935.8,19495,328,82
vgg13,8,795.44,507.54,4.59,3772,2496,240.6,5012,0,13
vgg13,16,1590.88,507.54,9.19,4358,2496,240.6,5012,0,13
vgg13,32,3181.76,507.54,18.38,7426,2496,240.6,5012,0,13
vgg13,64,6363.52,507.54,36.75,11404,2496,240.6,5012,0,13
vgg13,8,795.44,507.54,4.59,3820,2560,448,14000,320,40
vgg13,16,1590.88,507.54,9.19,4962,2560,448,14000,320,40
vgg13,32,3181.76,507.54,18.38,7622,2560,448,14000,320,40
vgg13,64,6363.52,507.54,36.75,9025,2560,448,14000,320,40
vgg13,8,795.44,507.54,4.59,4061,5888,512,16000,184,46
vgg13,16,1590.88,507.54,9.19,4471,5888,512,16000,184,46
